id,utc,rssi
fbf558674514f3e2,2025-09-22T22:58:31.091458+00:00,-93
a01b5344d04112cf,2025-09-22T22:58:41.326230+00:00,-98
578f7423729f2c62,2025-09-22T22:58:41.333857+00:00,-72
e7588156477da903,2025-09-22T22:58:41.379466+00:00,-63
ec43af68232b6ebf,2025-09-22T22:58:41.386516+00:00,-73
6c7835a65a9bddf2,2025-09-22T22:58:41.417621+00:00,-56
beec830848e2c147,2025-09-22T22:58:41.421871+00:00,-53
1a05b3e8c53a8478,2025-09-22T22:58:41.460064+00:00,-51
beec830848e2c147,2025-09-22T22:58:41.497712+00:00,-43
3b2b0ebd7d52b012,2025-09-22T22:58:41.529556+00:00,-70
72aee4093924bb7f,2025-09-22T22:58:41.539047+00:00,-68
ec43af68232b6ebf,2025-09-22T22:58:41.543581+00:00,-78
fdeb8c8bb44336c0,2025-09-22T22:58:41.605307+00:00,-69
beec830848e2c147,2025-09-22T22:58:41.637957+00:00,-43
e7588156477da903,2025-09-22T22:58:41.641822+00:00,-44
6c7835a65a9bddf2,2025-09-22T22:58:41.667479+00:00,-59
beec830848e2c147,2025-09-22T22:58:41.672065+00:00,-63
3b2b0ebd7d52b012,2025-09-22T22:58:41.694373+00:00,-65
ec43af68232b6ebf,2025-09-22T22:58:41.698785+00:00,-72
578f7423729f2c62,2025-09-22T22:58:41.702268+00:00,-73
72aee4093924bb7f,2025-09-22T22:58:41.725243+00:00,-59
beec830848e2c147,2025-09-22T22:58:41.733009+00:00,-49
1a05b3e8c53a8478,2025-09-22T22:58:41.735179+00:00,-51
a01b5344d04112cf,2025-09-22T22:58:41.765533+00:00,-98
82b09a310ab35bea,2025-09-22T22:58:41.786396+00:00,-88
beec830848e2c147,2025-09-22T22:58:41.846104+00:00,-58
ec43af68232b6ebf,2025-09-22T22:58:41.848708+00:00,-67
e179b5fd69f2990e,2025-09-22T22:58:52.216560+00:00,-95
e7588156477da903,2025-09-22T22:58:52.232821+00:00,-62
82b09a310ab35bea,2025-09-22T22:58:52.263687+00:00,-77
beec830848e2c147,2025-09-22T22:58:52.269971+00:00,-53
3b2b0ebd7d52b012,2025-09-22T22:58:52.302352+00:00,-70
578f7423729f2c62,2025-09-22T22:58:52.308025+00:00,-69
ec43af68232b6ebf,2025-09-22T22:58:52.331914+00:00,-60
