id,start_utc,end_utc,duration_s,mean_rssi
fbf558674514f3e2,2025-09-22T22:58:31.091458+00:00,2025-09-22T22:59:00.285987+00:00,29,-93
a01b5344d04112cf,2025-09-22T22:58:41.326230+00:00,2025-09-22T22:59:00.285987+00:00,19,-96
578f7423729f2c62,2025-09-22T22:58:41.333857+00:00,2025-09-22T22:59:00.285987+00:00,19,-66
e7588156477da903,2025-09-22T22:58:41.379466+00:00,2025-09-22T22:59:00.285987+00:00,19,-57
ec43af68232b6ebf,2025-09-22T22:58:41.386516+00:00,2025-09-22T22:59:00.285987+00:00,19,-70
6c7835a65a9bddf2,2025-09-22T22:58:41.417621+00:00,2025-09-22T22:59:00.285987+00:00,19,-57
beec830848e2c147,2025-09-22T22:58:41.421871+00:00,2025-09-22T22:59:00.285987+00:00,19,-49
1a05b3e8c53a8478,2025-09-22T22:58:41.460064+00:00,2025-09-22T22:59:00.285987+00:00,19,-48
3b2b0ebd7d52b012,2025-09-22T22:58:41.529556+00:00,2025-09-22T22:59:00.285987+00:00,19,-61
72aee4093924bb7f,2025-09-22T22:58:41.539047+00:00,2025-09-22T22:59:00.285987+00:00,19,-67
fdeb8c8bb44336c0,2025-09-22T22:58:41.605307+00:00,2025-09-22T22:59:00.285987+00:00,19,-71
82b09a310ab35bea,2025-09-22T22:58:41.786396+00:00,2025-09-22T22:59:00.285987+00:00,18,-81
e179b5fd69f2990e,2025-09-22T22:58:52.216560+00:00,2025-09-22T22:59:00.285987+00:00,8,-94
ad3565130fc67076,2025-09-22T22:58:54.095533+00:00,2025-09-22T22:59:00.285987+00:00,6,-79
885841c22f58b8ef,2025-09-22T22:58:54.227382+00:00,2025-09-22T22:59:00.285987+00:00,6,-91
50b9a409b2d8ef68,2025-09-22T22:58:54.433100+00:00,2025-09-22T22:59:00.285987+00:00,6,-59
6f404b8d34b81f25,2025-09-22T22:58:54.763504+00:00,2025-09-22T22:59:00.285987+00:00,6,-75
a0a08aa0e7b6a615,2025-09-22T22:58:54.871088+00:00,2025-09-22T22:59:00.285987+00:00,5,-69
b4a4e41e39ec14ce,2025-09-22T22:58:55.099414+00:00,2025-09-22T22:59:00.285987+00:00,5,-90
6c7835a65a9bddf2,2025-09-22T23:08:02.666188+00:00,2025-09-22T23:08:29.893541+00:00,27,-66
aa407a1493a87a89,2025-09-22T23:08:02.671998+00:00,2025-09-22T23:08:29.893541+00:00,27,-61
beec830848e2c147,2025-09-22T23:08:02.675834+00:00,2025-09-22T23:08:29.893541+00:00,27,-51
ec43af68232b6ebf,2025-09-22T23:08:02.680562+00:00,2025-09-22T23:08:29.893541+00:00,27,-65
5584d1087329bd47,2025-09-22T23:08:02.691479+00:00,2025-09-22T23:08:29.893541+00:00,27,-66
aaca87702d0c7d61,2025-09-22T23:08:02.794282+00:00,2025-09-22T23:08:29.893541+00:00,27,-57
6f404b8d34b81f25,2025-09-22T23:08:02.835966+00:00,2025-09-22T23:08:29.893541+00:00,27,-56
8cdd491edd64c453,2025-09-22T23:08:02.852281+00:00,2025-09-22T23:08:29.893541+00:00,27,-42
885841c22f58b8ef,2025-09-22T23:08:13.516773+00:00,2025-09-22T23:08:29.893541+00:00,16,-83
e179b5fd69f2990e,2025-09-22T23:08:13.611111+00:00,2025-09-22T23:08:29.893541+00:00,16,-94
a01b5344d04112cf,2025-09-22T23:08:13.646280+00:00,2025-09-22T23:08:29.893541+00:00,16,-88
e7588156477da903,2025-09-22T23:08:13.669678+00:00,2025-09-22T23:08:29.893541+00:00,16,-54
fdeb8c8bb44336c0,2025-09-22T23:08:24.078166+00:00,2025-09-22T23:08:29.893541+00:00,6,-73
1d5d6a0efa946028,2025-09-22T23:08:24.189978+00:00,2025-09-22T23:08:29.893541+00:00,6,-80
ad935f948582abac,2025-09-22T23:08:24.424947+00:00,2025-09-22T23:08:29.893541+00:00,5,-83
b5a728f1ef908fbe,2025-09-22T23:08:24.436797+00:00,2025-09-22T23:08:29.893541+00:00,5,-64
04d172438ba90f64,2025-09-22T23:08:24.474790+00:00,2025-09-22T23:08:29.893541+00:00,5,-93
d4eccc7ac7581b66,2025-09-22T23:08:24.493592+00:00,2025-09-22T23:08:29.893541+00:00,5,-69
bbb809ad4df38d77,2025-09-22T23:08:24.529626+00:00,2025-09-22T23:08:29.893541+00:00,5,-65
79d4d420a6525d54,2025-09-22T23:08:24.740258+00:00,2025-09-22T23:08:29.893541+00:00,5,-87
